Date,Date,,,,,,Price,Open,High,Low,Vol.,Change %
07/31/2023,7,,,31,2023,31/7/2023,"1,093.30","1,109.00","1,137.90","1,080.00",3.15M,0.06%
07/28/2023,7,,,28,2023,28/7/2023,"1,092.60","1,129.00","1,134.80","1,085.00",1.52M,-2.38%
07/27/2023,7,,,27,2023,27/7/2023,"1,119.20","1,148.00","1,172.50","1,111.20",2.03M,-1.86%
07/26/2023,7,,,26,2023,26/7/2023,"1,140.40","1,114.00","1,184.85","1,100.00",6.35M,4.81%
07/25/2023,7,,,25,2023,25/7/2023,"1,088.05",990,"1,088.05",990,3.65M,10.00%
07/24/2023,7,,,24,2023,24/7/2023,989.15,998.95,"1,004.95",986.15,479.40K,-0.64%
07/21/2023,7,,,21,2023,21/7/2023,995.55,985,"1,000.00",979.7,729.19K,1.07%
07/20/2023,7,,,20,2023,20/7/2023,985,981.95,991.7,977.15,821.31K,0.55%
07/19/2023,7,,,19,2023,19/7/2023,979.65,982,988,971.1,735.70K,0.61%
07/18/2023,7,,,18,2023,18/7/2023,973.75,968,"1,020.00",957.1,2.25M,0.88%
07/17/2023,7,,,17,2023,17/7/2023,965.3,970.15,979,961,754.57K,0.01%
07/14/2023,7,,,14,2023,14/7/2023,965.2,952.95,968.3,945.95,618.58K,1.92%
